rebarYieldCurvature	coreOneThirdCrushCurvature	coreTwoThirdCrushCurvature	ultimateCurvature
0.002711	0.0094885	0.022501	0.034159
0.0028704	0.023681	0.04772	0.070684
0.0014448	0.0049392	0.012348	0.017035
0.003205	0.015064	0.03205	0.048396
0.0016008	0.0031473	0.0083023	0.013539
0.001795	0.006462	0.014899	0.022797
0.0035793	0.028634	0.058462	0.084312
0.0008668	0.0030732	0.0083528	0.013396
0.002047	0.0092115	0.018014	0.022517
0.0032193	0.020031	0.038632	0.056517
0.0017154	0.0070522	0.016201	0.024778
0.0021726	0.008449	0.019071	0.028244
0.0009646	0.0052682	0.013727	0.021666
0.0016344	0.0061744	0.01362	0.019976
0.0020115	0.0055875	0.012069	0.017656
0.0031491	0.017495	0.038489	0.057734
0.0018459	0.010255	0.021741	0.032611
0.001807	0.0083122	0.019154	0.028731
0.0021536	0.0061916	0.012922	0.018575
0.0015705	0.004886	0.012215	0.019195
0.0030096	0.014379	0.028758	0.042134
0.0026703	0.012461	0.026703	0.038868
0.00087142	0.0026648	0.0068451	0.0095477
0.0031635	0.025659	0.050967	0.072761
0.0023715	0.010013	0.020553	0.029512
0.0025866	0.013795	0.027303	0.039949
0.0032553	0.020617	0.041234	0.060404
0.0013644	0.0063672	0.014705	0.022588
0.0030032	0.017644	0.034912	0.052181
0.0022482	0.0072442	0.016487	0.024231
0.0028071	0.014035	0.030254	0.045226
0.0019359	0.0081738	0.016778	0.023446
0.0013212	0.0055784	0.013065	0.01835
0.0023004	0.012524	0.026838	0.039362
0.000943	0.003772	0.0099015	0.015748
0.0008112	0.0027716	0.007436	0.0121
0.0017552	0.012725	0.02545	0.037079
0.0015867	0.0045838	0.010754	0.01622
0.0012898	0.00381	0.0096838	0.014744
0.002151	0.008604	0.019359	0.02868
0.0031248	0.022915	0.045483	0.065621
0.001645	0.008883	0.019246	0.02813
0.0007968	0.0024568	0.0070384	0.010956
0.002259	0.010617	0.023494	0.035466
0.0017073	0.0068292	0.015176	0.022954
0.0014412	0.0045638	0.012611	0.020177
0.001972	0.0096135	0.020459	0.030812
0.0017809	0.0063141	0.015542	0.022342
0.0010442	0.0034911	0.009211	0.013824
0.0010824	0.0041492	0.011546	0.017499
0.0025744	0.013516	0.026709	0.03926
0.0031635	0.021793	0.04464	0.065379
0.0013143	0.003943	0.0097978	0.014936
0.0016995	0.004635	0.010815	0.014214
0.0022059	0.0085785	0.019118	0.027941
0.0031041	0.010002	0.020694	0.029661
0.0022923	0.0089145	0.019612	0.027762
0.003086	0.01111	0.023454	0.03302
0.0015456	0.0050232	0.013266	0.020222
0.0017448	0.0091602	0.019629	0.029007
0.0023652	0.011038	0.024178	0.036529
0.003264	0.018768	0.039168	0.057936
0.001665	0.0061605	0.014486	0.021645
0.0015201	0.0064182	0.014863	0.022295
0.0020637	0.0089427	0.018573	0.027287
0.001064	0.004256	0.010853	0.017343
0.0021726	0.0070006	0.015932	0.023657
0.0013887	0.0044747	0.010955	0.017127
0.0024957	0.0097055	0.021629	0.032444
0.0018356	0.003846	0.0096734	0.01384
0.0021256	0.007971	0.017271	0.025242
0.000781	0.0035926	0.0092939	0.014995
0.0007943	0.0027495	0.0076986	0.013014
0.0012105	0.006187	0.014526	0.02152
0.0008283	0.0033885	0.0083583	0.012048
0.0018711	0.0060291	0.013098	0.018711
0.0026469	0.01147	0.024116	0.036174
0.0013145	0.0056165	0.015177	0.023064
0.0025119	0.013118	0.028189	0.042702
0.002025	0.008325	0.018225	0.027
0.0018448	0.0094546	0.019601	0.028825
0.0023904	0.011653	0.023306	0.034063
0.0021942	0.013897	0.028281	0.040715
0.0019755	0.007902	0.016463	0.023047
0.0025254	0.010382	0.022167	0.03283
0.003219	0.012232	0.026718	0.039916
0.001289	0.0046404	0.011859	0.018046
0.0021276	0.0087468	0.018912	0.028132
0.0025092	0.008364	0.018958	0.028159
0.0021528	0.009568	0.020332	0.028943
0.0005408	0.002912	0.007904	0.012147
0.00245	0.00539	0.012495	0.018375
0.0015444	0.0041184	0.010639	0.016817
0.0037008	0.025494	0.050989	0.073605
0.0028278	0.010683	0.023879	0.034562
0.0014707	0.0048951	0.012227	0.017671
0.0006456	0.0032818	0.0083928	0.012482
0.0014641	0.0043923	0.011713	0.017968
0.0024893	0.0081468	0.017651	0.023309
0.0024784	0.011153	0.023545	0.034388
0.0019863	0.0092694	0.020746	0.030677
0.0011691	0.0041568	0.010262	0.015718
0.0034983	0.015937	0.033039	0.049365
0.0006028	0.0042744	0.011453	0.016385
0.0021573	0.011985	0.025888	0.039311
0.002796	0.012302	0.028799	0.043058
0.0023778	0.0058124	0.013738	0.020608
0.0008866	0.0033046	0.008866	0.014024
0.000702	0.004212	0.011232	0.016146
0.001829	0.0064015	0.016095	0.024874
0.0016056	0.0058872	0.014629	0.0223
0.0032625	0.011237	0.022113	0.029362
0.002749	0.011821	0.027765	0.04261
0.002047	0.0077786	0.018218	0.027634
0.0012584	0.0033176	0.0086944	0.013728
0.003789	0.018945	0.039574	0.057677
0.0032859	0.034685	0.069369	0.1004
0.0016856	0.01201	0.026337	0.039401
0.0014472	0.0053064	0.012864	0.019135
0.001222	0.0040326	0.010265	0.015886
0.0014463	0.006428	0.014945	0.022498
0.0026271	0.013719	0.028898	0.043201
0.0016047	0.0057056	0.012481	0.018365
0.0021168	0.0089376	0.019522	0.029165
0.003686	0.019904	0.042389	0.063399
